iter	Logloss
0	0.5468208385
1	0.431467209
2	0.345884657
3	0.3029695715
4	0.2628631247
5	0.235583474
6	0.2148612103
7	0.2017673473
8	0.1856676479
9	0.1765725262
10	0.1658445002
11	0.1576446023
12	0.1498247179
13	0.1440906016
14	0.1392703149
15	0.1376645879
16	0.1327356332
17	0.129519017
18	0.1260336225
19	0.1229037971
20	0.1200070012
21	0.1167835665
22	0.1151087229
23	0.1133169298
24	0.1114647088
25	0.1091067738
26	0.1069602742
27	0.1051914555
28	0.1033072884
29	0.1016440734
30	0.0995935089
31	0.09730096383
32	0.09558779726
33	0.09458108986
34	0.09295716409
35	0.0917044251
36	0.09049486758
37	0.08899292931
38	0.08769275073
39	0.08682068092
40	0.08596699618
41	0.08593134403
42	0.08448606549
43	0.0836215457
44	0.08266163606
45	0.08172893136
46	0.08111111258
47	0.08047472929
48	0.07947514403
49	0.0788247994
50	0.07800658738
51	0.07732262648
52	0.07673789257
53	0.07566441502
54	0.07504748651
55	0.07452674151
56	0.07403209036
57	0.0735141818
58	0.07286409251
59	0.07196206412
60	0.07144544611
61	0.07060474273
62	0.07055396292
63	0.07004912543
64	0.0690111206
65	0.06821912665
66	0.06768075571
67	0.0668409219
68	0.06642111541
69	0.0656620752
70	0.06465870802
71	0.06405209007
72	0.06364302202
73	0.06286848147
74	0.06240190483
75	0.06184673611
76	0.0614114638
77	0.06093160214
78	0.06052516349
79	0.05995013281
80	0.05960241738
81	0.05914766268
82	0.05864843595
83	0.05798059651
84	0.05747411651
85	0.05697031767
86	0.0567061115
87	0.05644835805
88	0.0558684447
89	0.05560269608
90	0.0551464852
91	0.05480266901
92	0.05434313515
93	0.05406338033
94	0.05384886356
95	0.05355123436
96	0.05324153132
97	0.05264672841
98	0.05231585561
99	0.0519057075
100	0.0514018431
101	0.05120126007
102	0.05066597057
103	0.05043427991
104	0.04993313462
105	0.04957251374
106	0.04934827648
107	0.04896422222
108	0.04860876007
109	0.04842260422
110	0.04819310127
111	0.04800760795
112	0.0477102617
113	0.04728030339
114	0.04683765703
115	0.04666909952
116	0.04647418591
117	0.04601227455
118	0.04585290613
119	0.04569129823
120	0.04542284085
121	0.04488416626
122	0.04473571915
123	0.04448839703
124	0.04430220667
125	0.04417407701
126	0.04393753473
127	0.04379468113
128	0.04332307344
129	0.04315586513
130	0.04295100329
131	0.04265245621
132	0.04237119001
133	0.04226524805
134	0.04209066915
135	0.04184476179
136	0.04172428223
137	0.04160314014
138	0.04148003463
139	0.04132276075
140	0.04116820944
141	0.04099836483
142	0.0406797315
143	0.04052224368
144	0.04038548049
145	0.04018314453
146	0.04004440411
147	0.03964273081
148	0.0395101291
149	0.03918564002
150	0.03886374927
151	0.03876232076
152	0.03858940853
153	0.03847214842
154	0.03814860136
155	0.0380138568
156	0.03787976786
157	0.03764032013
158	0.03751757004
159	0.03734852253
160	0.03713588292
161	0.03705600029
162	0.03697847101
163	0.03676672512
164	0.0366694443
165	0.03651627325
166	0.03635328854
167	0.03626313678
168	0.03604957239
169	0.03593215011
170	0.03584739516
171	0.03570517993
172	0.03563886873
173	0.03556237119
174	0.03546013524
175	0.03531915189
176	0.0352080236
177	0.03514077037
178	0.03484733026
179	0.03478946625
180	0.03470306189
181	0.03463647809
182	0.03458237184
183	0.0345261469
184	0.03439517735
185	0.03427771021
186	0.03418742041
187	0.03402901817
188	0.03391963936
189	0.03384660629
190	0.03376463602
191	0.03370435655
192	0.0336256437
193	0.03356359405
194	0.03332130298
195	0.03324797659
196	0.03313415334
197	0.03308079244
198	0.03296654476
199	0.03286792853
